user_id,product_identifier,frequency_type,inception_policy_id,adjustment_policy_id,change_number,transaction_type,effective_start_date,effective_end_date,ftp_start_date,ftp_valid_until,flex_policy_earned_hours,transaction_gwp,policy_total_gwp
15992,GB_delivery_flex_scooter,flex,198689,198689,0,Flex Policy,05/12/2017,05/12/2017,,,10,4.46,4.46
15668,GB_delivery_flex_scooter,flex,198806,198806,0,Flex Policy,05/12/2017,05/12/2017,,,10.78,4.46,4.46
15364,GB_delivery_flex_scooter,flex,215210,215210,0,Flex Policy,27/12/2017,27/12/2017,,,1,0.67,0.67
15589,GB_delivery_flex_car,flex,215489,215489,0,Flex Policy,27/12/2017,27/12/2017,,,5.25,6.7,6.7
15992,GB_delivery_flex_scooter,flex,215585,215585,0,Flex Policy,28/12/2017,28/12/2017,,,4,2.68,2.68
3908,GB_delivery_flex_scooter,flex,215793,215793,0,Flex Policy,28/12/2017,28/12/2017,,,3,2.01,2.01
14872,GB_delivery_flex_scooter,flex,217425,217425,0,Flex Policy,31/12/2017,31/12/2017,,,5,3.35,3.35
11149,GB_delivery_flex_scooter,flex,218041,218041,0,Flex Policy,01/01/2018,01/01/2018,,,10,4.46,4.46
15668,GB_delivery_flex_scooter,flex,218795,218795,0,Flex Policy,02/01/2018,02/01/2018,,,4,2.32,2.32
14690,GB_delivery_flex_scooter,flex,218853,218853,0,Flex Policy,02/01/2018,02/01/2018,,,5,2.72,2.72
20450,GB_delivery_flex_scooter,flex,219911,219911,0,Flex Policy,03/01/2018,03/01/2018,,,1,0.58,0.58
14690,GB_delivery_flex_scooter,flex,220161,220161,0,Flex Policy,04/01/2018,04/01/2018,,,1,0.58,0.58
15992,GB_delivery_flex_scooter,flex,220243,220243,0,Flex Policy,03/01/2018,03/01/2018,,,1,0.67,0.67
9515,GB_delivery_flex_scooter,flex,220384,220384,0,Flex Policy,04/01/2018,04/01/2018,,,3,2.01,2.01
15992,GB_delivery_flex_scooter,flex,221009,221009,0,Flex Policy,05/01/2018,05/01/2018,,,1.05,0.67,1.34
